frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,triangle_area,eye_distance,sunglasses_detected,eye_roi_width,eye_roi_height,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
14,0.2069021141528743,0.19659611783265307,1.0,1.0,-17.0,56.33300373139057,0.6732438536384467,2,-34,2757.0,108.01851693112621,False,80,48,0.4245089292526245,0.504246175289154,0.015500794164836407,0.5934824347496033,0.5004737973213196,0.01764851249754429,0.5132901668548584,0.6092334389686584,-0.059437863528728485,0.5098422765731812,0.49196308851242065,-0.023457633331418037,326,258
15,0.20622030213364223,0.19170252300266144,1.0,1.0,-17.5,56.144508184538864,0.6736663646050797,2,-35,2782.5,108.00462953040486,False,80,48,0.42449668049812317,0.5041611790657043,0.01570645160973072,0.593749463558197,0.5008636713027954,0.01757071167230606,0.5125681757926941,0.6091755032539368,-0.059419646859169006,0.5096030235290527,0.49227461218833923,-0.023447997868061066,326,257
16,0.2005692860346109,0.187745185237339,1.0,1.0,-17.0,56.321380735864786,0.6732438536384467,2,-34,2757.0,108.01851693112621,False,80,48,0.4240383505821228,0.5041924715042114,0.01536739245057106,0.5934852361679077,0.500593900680542,0.017716065049171448,0.5133542418479919,0.6092398166656494,-0.059502046555280685,0.5098622441291809,0.49199602007865906,-0.023519448935985565,326,258
17,0.14648733606145103,0.09923626639884603,1.0,1.0,-16.5,56.24300394222678,0.658187919633318,2,-33,2649.0,108.01851693112621,False,80,48,0.42317306995391846,0.5119393467903137,0.014410675503313541,0.5907080173492432,0.5068379640579224,0.01560825016349554,0.5122204422950745,0.6111292839050293,-0.05744907632470131,0.5093892216682434,0.49401718378067017,-0.023666149005293846,325,260
18,0.03356995963489564,0.03630443119541342,1.0,1.5,-16.0,55.94173745855352,0.6359477263073462,3,-32,2641.5,111.04053313993049,False,82,48,0.42102736234664917,0.5146697759628296,0.014336716383695602,0.594708263874054,0.5098081827163696,0.015987973660230637,0.5126747488975525,0.610436737537384,-0.0577104389667511,0.5097180604934692,0.49395814538002014,-0.02368084527552128,325,261
19,0.06908570484003729,0.04327018880188276,1.0,1.5,-16.0,56.229930535738156,0.6371927940628599,3,-32,2644.0,110.01818031580054,False,82,48,0.42070502042770386,0.5131567716598511,0.013669613748788834,0.5926510095596313,0.508603036403656,0.016449224203824997,0.5132102370262146,0.610925018787384,-0.0580851249396801,0.5094362497329712,0.49388745427131653,-0.024018891155719757,325,261
20,0.13414191034451564,0.0918075612433128,1.0,1.5,-16.5,55.63883556173599,0.6523966985681543,3,-33,2675.0,108.00462953040486,False,80,48,0.4222285747528076,0.5103012919425964,0.014186826534569263,0.5912822484970093,0.507073163986206,0.01730545610189438,0.5130571126937866,0.6114073991775513,-0.05898464471101761,0.5097935795783997,0.49557486176490784,-0.024016203358769417,325,260
21,0.16049375784352354,0.13535289752943785,1.0,1.5,-17.0,55.708283283764175,0.6599243889359174,3,-34,2729.0,108.00462953040486,False,80,48,0.4232785701751709,0.5066459774971008,0.014570356346666813,0.591309130191803,0.5045986771583557,0.017402399331331253,0.5133925080299377,0.6105407476425171,-0.05911241099238396,0.5098903775215149,0.4945757985115051,-0.02383613958954811,325,259
22,0.1722728184560326,0.16047560030968153,1.0,1.5,-17.5,56.15854060668533,0.6737303090940806,3,-35,2757.0,107.00467279516349,False,80,48,0.42420005798339844,0.5058252215385437,0.014766484498977661,0.5920329093933105,0.5022070407867432,0.017273547127842903,0.513270914554596,0.61092609167099,-0.05892263352870941,0.5099576711654663,0.4940125644207001,-0.02361724153161049,325,258
23,0.17759333844078182,0.16755792649582565,1.0,1.0,-17.5,56.210239954094696,0.6804789543320479,2,-35,2811.0,108.01851693112621,False,80,48,0.4237746596336365,0.5057700872421265,0.014286192134022713,0.5929967164993286,0.5012596845626831,0.017024250701069832,0.5134409666061401,0.6105892658233643,-0.05921564996242523,0.5099678039550781,0.49357619881629944,-0.024351729080080986,326,258
24,0.1903597539920294,0.1751523343081131,1.0,1.0,-17.0,56.22632667028365,0.6732438536384467,2,-34,2757.0,108.01851693112621,False,80,48,0.4235152006149292,0.5058668851852417,0.013836599886417389,0.5933233499526978,0.5010976791381836,0.01759856566786766,0.5137955546379089,0.610389769077301,-0.05972158536314964,0.5099823474884033,0.4933619797229767,-0.02475648559629917,326,258
25,0.1996595670089676,0.17458098104920977,1.0,1.0,-17.0,55.837904895507826,0.6732438536384467,2,-34,2757.0,108.01851693112621,False,80,48,0.42358824610710144,0.505528450012207,0.01520153321325779,0.5929648876190186,0.5012986660003662,0.01737682707607746,0.512912392616272,0.6094513535499573,-0.05961596220731735,0.5094553232192993,0.4932137429714203,-0.023997502401471138,326,258
26,0.1988360847678464,0.17812916380606886,1.0,1.0,-17.0,55.79313787169779,0.6732438536384467,2,-34,2757.0,108.01851693112621,False,80,48,0.4235938787460327,0.5052178502082825,0.015252609737217426,0.5930774211883545,0.5009421110153198,0.01775449886918068,0.513154149055481,0.6088191866874695,-0.05960095673799515,0.5096433758735657,0.4926777780056,-0.023577889427542686,326,258
27,0.19667352877377287,0.18132026033244567,1.0,1.0,-17.0,56.14282709865881,0.6732438536384467,2,-34,2757.0,108.01851693112621,False,80,48,0.424013614654541,0.504894495010376,0.01482562068849802,0.5931016206741333,0.50080406665802,0.017801770940423012,0.51313316822052,0.6090837121009827,-0.05981652811169624,0.5096674561500549,0.4922108054161072,-0.023908723145723343,326,258
28,0.2030617714844839,0.1831995752761329,1.0,1.0,-17.0,56.19757632890161,0.6732438536384467,2,-34,2757.0,108.01851693112621,False,80,48,0.4239046573638916,0.5052019953727722,0.015612228773534298,0.592988133430481,0.5008476972579956,0.01735674776136875,0.5125142931938171,0.6094644069671631,-0.05974670127034187,0.5089519023895264,0.4924825131893158,-0.023789066821336746,326,258
29,0.20727891785062433,0.18566424889641234,1.0,1.0,-17.0,55.9425526848684,0.6797128908502075,2,-34,2756.0,108.01851693112621,False,80,48,0.4239506125450134,0.5052793622016907,0.016473090276122093,0.5925911068916321,0.501278817653656,0.01790284737944603,0.5121307969093323,0.6083902716636658,-0.0597040094435215,0.5087605714797974,0.49192994832992554,-0.022967949509620667,325,258
30,0.20920512714331346,0.19240611393713683,1.0,1.0,-17.0,55.77819535120876,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.4236173629760742,0.5049947500228882,0.01614144630730152,0.592768669128418,0.5014691352844238,0.018339868634939194,0.5130059123039246,0.6081752777099609,-0.05945062264800072,0.5091432332992554,0.49208489060401917,-0.022727858275175095,326,257
31,0.20473297878182548,0.18835605534976893,1.0,1.0,-17.0,55.926625292838274,0.6723259409821313,2,-34,2702.0,108.01851693112621,False,80,48,0.42418602108955383,0.5044981241226196,0.015985414385795593,0.5927551984786987,0.5012415647506714,0.017863424494862556,0.5122576951980591,0.6082038283348083,-0.05958133190870285,0.509145975112915,0.4917639195919037,-0.023158762603998184,325,257
32,0.20237722327127328,0.19114647334189702,1.0,1.0,-17.0,56.111287691657196,0.6797128908502075,2,-34,2756.0,108.01851693112621,False,80,48,0.4237661361694336,0.5049591660499573,0.01586761511862278,0.5926114320755005,0.5010455250740051,0.017302069813013077,0.5123227834701538,0.6087888479232788,-0.05946723744273186,0.508988082408905,0.49197492003440857,-0.02346484549343586,325,258
33,0.15382721738424476,0.11666568841618001,1.0,1.5,-16.5,55.579765560306534,0.6517225357096171,3,-33,2650.0,108.01851693112621,False,80,48,0.4217413365840912,0.5091522932052612,0.014300312846899033,0.5897135734558105,0.5055028200149536,0.016358349472284317,0.512424647808075,0.6102681756019592,-0.05771097540855408,0.5091630220413208,0.4945586919784546,-0.02366858907043934,324,259
34,0.055866047400410956,0.04132836077170826,1.0,1.0,-16.0,56.1267080049483,0.6355350849077998,2,-32,2588.0,110.01818031580054,False,82,48,0.42111557722091675,0.513709545135498,0.013731112703680992,0.5921965837478638,0.5087579488754272,0.015956591814756393,0.512367844581604,0.6102039813995361,-0.05778080224990845,0.5092835426330566,0.4933456778526306,-0.023950524628162384,325,260
35,0.08623779240887085,0.04178619871227362,1.0,1.5,-16.0,55.584468455882224,0.6373213002008281,3,-32,2620.5,109.01834707974616,False,80,48,0.42127591371536255,0.5124185085296631,0.013830166310071945,0.5915677547454834,0.5078612565994263,0.017060955986380577,0.5128657817840576,0.6095818877220154,-0.0580461323261261,0.5095051527023315,0.4938676357269287,-0.02356639876961708,325,260
36,0.14074641041660046,0.10582263586595049,1.0,1.5,-16.5,55.521759185091824,0.6518537469696543,3,-33,2626.0,107.01868995647442,False,80,48,0.42272624373435974,0.5084414482116699,0.01337391696870327,0.5903468132019043,0.5054059028625488,0.016928963363170624,0.5127192139625549,0.6103892922401428,-0.05860123038291931,0.5092223882675171,0.4948129653930664,-0.02447620779275894,325,259
37,0.17189628700954093,0.15048737661275044,1.0,1.5,-17.0,55.780221382128964,0.666434500560101,3,-34,2703.5,107.00467279516349,False,80,48,0.42326819896698,0.5053145885467529,0.014021577313542366,0.5902799367904663,0.5025849342346191,0.017052963376045227,0.5124930739402771,0.6093534231185913,-0.05876798927783966,0.5088227391242981,0.49324771761894226,-0.024100493639707565,324,258
38,0.1849400303781042,0.17207668003661805,1.0,1.0,-17.0,55.78350986284364,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.4232107400894165,0.5053911805152893,0.015282787382602692,0.5909378528594971,0.5008436441421509,0.017801139503717422,0.5124557018280029,0.6081652641296387,-0.05895853042602539,0.5084832906723022,0.49207037687301636,-0.023033302277326584,325,257
39,0.18728460102865993,0.17209505005962322,1.0,1.0,-17.0,56.26167147463094,0.6732438536384467,2,-34,2757.0,108.01851693112621,False,80,48,0.4229333996772766,0.5052385330200195,0.015028937719762325,0.591564416885376,0.5001237392425537,0.017205815762281418,0.5117146372795105,0.6088828444480896,-0.05982840433716774,0.5079793930053711,0.49177688360214233,-0.024194881319999695,325,258
40,0.19505013911796432,0.17820628309172057,1.0,1.5,-17.0,56.3025487082114,0.6733717709871236,3,-34,2732.0,107.01868995647442,False,80,48,0.42235714197158813,0.5047951936721802,0.016054965555667877,0.5905457139015198,0.5006337761878967,0.01786895841360092,0.5111528038978577,0.60842365026474,-0.0592009499669075,0.5075128674507141,0.4912271201610565,-0.022792156785726547,324,258
41,0.20427115443439403,0.18069465571821486,1.0,1.0,-17.0,55.8953675327718,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.42212817072868347,0.5046348571777344,0.0158512182533741,0.5906649827957153,0.5002756714820862,0.017983485013246536,0.511673629283905,0.6077077984809875,-0.05933376029133797,0.5077058672904968,0.49137935042381287,-0.022981857880949974,325,257
42,0.2028131527865638,0.17960940014940313,1.0,1.5,-17.0,56.05014758213616,0.6659441253126627,3,-34,2678.5,107.01868995647442,False,80,48,0.42200925946235657,0.5046421885490417,0.015839453786611557,0.5904086232185364,0.5000605583190918,0.017686130478978157,0.511073112487793,0.6077556610107422,-0.05925688147544861,0.5072601437568665,0.49109524488449097,-0.023046011105179787,324,257
43,0.20408424475145848,0.18187379257397984,1.0,1.0,-17.0,56.17677545963045,0.6723259409821313,2,-34,2702.0,108.01851693112621,False,80,48,0.421883761882782,0.5042997598648071,0.016332920640707016,0.5908141136169434,0.5002926588058472,0.01762450486421585,0.5104027986526489,0.6082894802093506,-0.059579238295555115,0.5070004463195801,0.4913424849510193,-0.02309350110590458,324,257
44,0.20300524248819513,0.1892161148730265,1.0,1.0,-17.0,56.21110978083745,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.4216160774230957,0.5046400427818298,0.016466060653328896,0.5901124477386475,0.5000280141830444,0.01740626059472561,0.5101412534713745,0.6082099080085754,-0.05935392156243324,0.5066879987716675,0.4911939799785614,-0.02289263904094696,324,257
45,0.20491203663981558,0.1810331677515722,1.0,1.0,-17.0,56.131620647369914,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.421787291765213,0.504611074924469,0.016222605481743813,0.5899708271026611,0.5002824068069458,0.017253538593649864,0.5104659199714661,0.6081423759460449,-0.05929374322295189,0.5066351294517517,0.491313099861145,-0.023196985945105553,324,257
46,0.20788056047146833,0.18447947434391637,1.0,1.0,-17.0,55.95998261169945,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.4212021827697754,0.5044026374816895,0.016424449160695076,0.5903812646865845,0.5005452036857605,0.017813708633184433,0.5101867318153381,0.6077929735183716,-0.059668492525815964,0.5068076252937317,0.49129676818847656,-0.02297983318567276,324,257
47,0.20613358227129278,0.1884186199902763,1.0,1.0,-17.0,56.10583009684949,0.6658150493230859,2,-34,2703.0,108.01851693112621,False,80,48,0.4217452108860016,0.5046606659889221,0.016285348683595657,0.5903353095054626,0.5005007982254028,0.018014071509242058,0.5104487538337708,0.6082326769828796,-0.059555478394031525,0.5068802237510681,0.49144241213798523,-0.02279328554868698,324,257
