frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,triangle_area,eye_distance,sunglasses_detected,eye_roi_width,eye_roi_height,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
1,0.19520252728872275,0.17657824798713326,1.0,1.0,-18.0,58.24976078560272,0.6811351102574392,2,-36,2997.0,112.0044641967453,False,84,50,0.42416131496429443,0.4842572510242462,0.018597407266497612,0.5998443365097046,0.4815959334373474,0.019393764436244965,0.5154362916946411,0.5939725041389465,-0.062104709446430206,0.5125265717506409,0.47268086671829224,-0.023002075031399727,327,249
2,0.19471102693590103,0.1786207031138072,1.0,1.0,-18.5,59.5008406182458,0.6882212689325257,2,-37,3083.0,112.01785571952357,False,84,50,0.4241582751274109,0.48436325788497925,0.015648799017071724,0.5994580984115601,0.48063069581985474,0.016583580523729324,0.5158105492591858,0.5960516929626465,-0.06168070062994957,0.5134191513061523,0.4721326231956482,-0.02581261284649372,328,249
3,0.19792195251326455,0.18632972706420198,1.0,0.5,-18.0,59.1755592318329,0.687529082736781,1,-36,3052.5,113.01769772916099,False,84,50,0.4240890145301819,0.48408228158950806,0.016349533572793007,0.6010017395019531,0.4795745313167572,0.01625647209584713,0.5151635408401489,0.5944454073905945,-0.062020521610975266,0.5125910043716431,0.4712107181549072,-0.025650108233094215,328,249
4,0.19723434832082368,0.1908477850362305,1.0,1.0,-18.0,59.2791159500019,0.6813278494268298,2,-36,3053.5,113.01769772916099,False,84,50,0.42394328117370605,0.4840439558029175,0.015520729124546051,0.6007938981056213,0.4795086979866028,0.0164737980812788,0.5160298943519592,0.594964325428009,-0.06188659369945526,0.5130144953727722,0.47153162956237793,-0.02595500461757183,328,249
5,0.19726958885521156,0.1907974956256147,1.0,1.0,-18.0,59.309245446434254,0.6813278494268298,2,-36,3053.5,113.01769772916099,False,84,50,0.4236525595188141,0.4841361343860626,0.015651686117053032,0.6006502509117126,0.47948792576789856,0.01690608821809292,0.5160457491874695,0.5950914621353149,-0.06187518313527107,0.5127891898155212,0.4716068506240845,-0.025603201240301132,328,249
6,0.19278868331727778,0.1701913451129312,1.0,1.0,-18.0,59.05468120232129,0.6813278494268298,2,-36,3053.5,113.01769772916099,False,84,50,0.42347437143325806,0.48383188247680664,0.01604088768362999,0.6002417802810669,0.479430615901947,0.01664751209318638,0.5156870484352112,0.5945242643356323,-0.06165878474712372,0.5128069519996643,0.47155362367630005,-0.02524302713572979,328,249
7,0.0980052655560428,0.03563549647466107,1.0,1.5,-17.0,59.105799417973,0.6469574854335159,3,-34,2855.0,113.00442469213318,False,84,50,0.42292144894599915,0.4919891655445099,0.01458868570625782,0.5987442135810852,0.4898582100868225,0.015805289149284363,0.5157967805862427,0.596951961517334,-0.060225557535886765,0.5130545496940613,0.4738691747188568,-0.025267476215958595,327,252
8,0.07981257203319203,0.03082758286920667,1.0,1.0,-17.0,59.451389861644635,0.6535613948569904,2,-34,2910.0,114.0175425099138,False,84,50,0.4216625690460205,0.4926469326019287,0.014779740013182163,0.5985350608825684,0.48923447728157043,0.015346997417509556,0.5150125026702881,0.5970479249954224,-0.0599464513361454,0.5125008821487427,0.4732361435890198,-0.025290776044130325,327,252
9,0.1289004768969398,0.034239041301755924,1.0,1.5,-17.5,58.713479017828384,0.6553845326175853,3,-35,2994.5,114.00438588054409,False,84,50,0.42161279916763306,0.4894888997077942,0.014599021524190903,0.5997344255447388,0.4873760938644409,0.015915801748633385,0.5158395767211914,0.5970075726509094,-0.06097250059247017,0.5132561922073364,0.4747363328933716,-0.026016993448138237,327,251
10,0.15772294840404968,0.12081883793138183,1.0,1.5,-18.0,58.95171415611508,0.6749424171921926,3,-36,2971.0,111.00450441310929,False,82,48,0.4239661693572998,0.4863015115261078,0.014590580016374588,0.598097026348114,0.4851519763469696,0.016385262832045555,0.5166224241256714,0.5970742702484131,-0.06106484308838844,0.5136270523071289,0.4743231534957886,-0.025870492681860924,327,250
