frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance,area_confidence,visibility_confidence,basic_visibility,z_anomaly_score,eye_position_score,eye_opening_score,eye_difference_score,eye_depth_score,eye_variation_score,eye_brightness_score,eye_symmetry,distance_confidence,shape_confidence,eye_distance_ratio,weighted_confidence,final_confidence,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
1,0.19247780980644405,0.17944712837914029,0.8910000000000001,1.0,-18.5,60.74956412640883,0.6882663020325163,2,-37,0.0,0.0,3164.5,114.00438588054409,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4268836975097656,0.49589723348617554,0.014944485388696194,0.6054428815841675,0.49458807706832886,0.022641349583864212,0.5187864303588867,0.6116200089454651,-0.06310492753982544,0.5163101553916931,0.48510149121284485,-0.023890554904937744,330,256
2,0.17140368917827373,0.17775413365256898,0.8910000000000001,1.0,-18.5,61.09611873355922,0.6754026243929414,2,-37,0.0,0.0,3135.0,115.00434774390054,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4264252185821533,0.4959317743778229,0.01582299917936325,0.6048376560211182,0.4942680299282074,0.0201728418469429,0.5188684463500977,0.6103681921958923,-0.06284338235855103,0.5166243314743042,0.48311978578567505,-0.024389775469899178,330,255
3,0.19150516274291443,0.18681520342737978,0.924,0.5,-18.5,60.66772996223442,0.6818764006481204,1,-37,0.0,0.0,3162.5,115.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,0.4264378547668457,0.49438321590423584,0.016826234757900238,0.6048160195350647,0.4938470125198364,0.020198756828904152,0.5177180171012878,0.6085214614868164,-0.06261894106864929,0.5160084962844849,0.4821509122848511,-0.023638397455215454,330,255
4,0.19860365995197385,0.1878232541064474,0.8910000000000001,0.5,-18.5,60.319989425548606,0.6815470389421765,1,-37,0.0,0.0,3134.5,115.00434774390054,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4261949956417084,0.4942428469657898,0.016458725556731224,0.6055283546447754,0.49362891912460327,0.02068328484892845,0.5181326866149902,0.6070498824119568,-0.06253031641244888,0.5164057612419128,0.4814043343067169,-0.023295965045690536,330,254
5,0.18710576827588643,0.1883604429126639,0.8910000000000001,0.5,-18.5,60.44833485117941,0.6878121885533655,1,-37,0.0,0.0,3107.0,114.00438588054409,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.42792409658432007,0.4954526722431183,0.016471251845359802,0.6052583456039429,0.493642657995224,0.01979384757578373,0.5183536410331726,0.6079525351524353,-0.06235582008957863,0.5167010426521301,0.4820377826690674,-0.023749182000756264,330,254
6,0.1920566394864276,0.18485205870960353,0.924,1.0,-18.0,60.327340119452394,0.6747674783416369,2,-36,0.0,0.0,3050.5,114.00438588054409,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,0.4277583360671997,0.495870977640152,0.016730235889554024,0.6051773428916931,0.49412524700164795,0.019910886883735657,0.5187628269195557,0.6075159311294556,-0.06264020502567291,0.5168829560279846,0.4818589687347412,-0.023742781952023506,330,255
7,0.19081891557196745,0.18435698824801416,0.8910000000000001,1.0,-18.0,60.48858701621032,0.6751582587650209,2,-36,0.0,0.0,3078.0,114.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4276828467845917,0.4957623779773712,0.015943307429552078,0.6057239770889282,0.49384114146232605,0.019764447584748268,0.5194486379623413,0.6082046627998352,-0.06265903264284134,0.5174445509910583,0.48221510648727417,-0.02421608939766884,330,255
8,0.19606742453899426,0.18287739466927322,0.8910000000000001,0.5,-18.5,60.55257156150035,0.6878685311750622,1,-37,0.0,0.0,3080.0,113.00442469213318,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4283877909183502,0.49608778953552246,0.015902580693364143,0.6061433553695679,0.49404168128967285,0.020172812044620514,0.5199224352836609,0.6084498763084412,-0.062459979206323624,0.5180314183235168,0.48232388496398926,-0.023960761725902557,331,255
9,0.1889249008111835,0.19092613369496958,0.8910000000000001,0.5,-18.5,60.353872928948796,0.6815470389421765,1,-37,0.0,0.0,3134.5,115.00434774390054,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.42810800671577454,0.49578243494033813,0.01635580323636532,0.6064513921737671,0.49364256858825684,0.02003387175500393,0.5196420550346375,0.608065128326416,-0.06232566758990288,0.5179138779640198,0.4823490083217621,-0.0236744936555624,331,254
10,0.19405326516748803,0.1908979906892483,0.8910000000000001,0.5,-18.5,60.552726039747164,0.6880915830092917,1,-37,0.0,0.0,3135.0,114.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4286377727985382,0.4958251118659973,0.016203369945287704,0.6065047979354858,0.49401333928108215,0.019867807626724243,0.5197365283966064,0.6083786487579346,-0.062401894479990005,0.5178368091583252,0.4822525680065155,-0.023881977424025536,331,255
