frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance,area_confidence,visibility_confidence,basic_visibility,z_anomaly_score,eye_position_score,eye_opening_score,eye_difference_score,eye_depth_score,eye_variation_score,eye_brightness_score,eye_symmetry,distance_confidence,shape_confidence,eye_distance_ratio,weighted_confidence,final_confidence,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
11,0.045317829337935385,0.21357061771418534,0.8470000000000001,-2.0,-14.0,53.521857042743164,0.6442060751563067,-4,-28,0.0,0.0,2397.5,119.21828718783037,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4013062119483948,0.4799458980560303,0.035381656140089035,0.5847846269607544,0.44505250453948975,0.01764652691781521,0.4842114746570587,0.5494393706321716,-0.062366683036088943,0.48572275042533875,0.4379537105560303,-0.01248308178037405,313,235
12,0.05071489210557446,0.20701815421642292,0.8470000000000001,-2.0,-14.0,54.40433697088536,0.649574010599675,-4,-28,0.0,0.0,2440.5,120.3536455617361,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.40304654836654663,0.4815737307071686,0.03453173488378525,0.5875985622406006,0.4447898864746094,0.01763278804719448,0.48536550998687744,0.5510126948356628,-0.0625852569937706,0.48704326152801514,0.43769240379333496,-0.013196530751883984,314,236
13,0.044013758459110056,0.20935891063416198,0.8470000000000001,-2.0,-14.5,54.41168018587849,0.6526777842415558,-4,-29,0.0,0.0,2490.5,121.19818480488888,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.40180689096450806,0.48189985752105713,0.03542742133140564,0.589311420917511,0.4471724331378937,0.01705198921263218,0.4853849709033966,0.5524505376815796,-0.062428172677755356,0.48700326681137085,0.43911340832710266,-0.012797113507986069,314,236
14,0.04153533887492541,0.21514281445427266,0.8470000000000001,-2.0,-14.0,54.99992410595924,0.649574010599675,-4,-28,0.0,0.0,2440.5,120.3536455617361,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4019347131252289,0.4841875731945038,0.035366542637348175,0.5876898169517517,0.445859432220459,0.015972668305039406,0.4847773611545563,0.5534759163856506,-0.06276420503854752,0.4868912696838379,0.43892741203308105,-0.013807279989123344,314,237
15,0.0527597660373971,0.20777599873943967,0.8470000000000001,-2.0,-14.5,54.920293703806244,0.6526777842415558,-4,-29,0.0,0.0,2490.5,121.19818480488888,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4016937017440796,0.48414406180381775,0.03577554598450661,0.5900314450263977,0.4494451582431793,0.017154192551970482,0.48521125316619873,0.5544590950012207,-0.062346313148736954,0.4874764382839203,0.4400816857814789,-0.012360718101263046,314,237
16,0.04403325649085121,0.2121333552634124,0.8470000000000001,-2.0,-14.5,56.053928055659746,0.6515295391198154,-4,-29,0.0,0.0,2543.0,122.3315167894194,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.40130558609962463,0.483676016330719,0.034203771501779556,0.5890884399414062,0.44712764024734497,0.015488877892494202,0.48580682277679443,0.5561041831970215,-0.06276017427444458,0.4874113202095032,0.43934476375579834,-0.014843805693089962,314,237
17,0.04248317713090521,0.19764333883319354,0.8470000000000001,-2.0,-15.0,56.28729390587342,0.6589870995683559,-4,-30,0.0,0.0,2610.0,122.05326705991938,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4014888405799866,0.4831669330596924,0.03428102284669876,0.5901933312416077,0.44989871978759766,0.015650996938347816,0.4857000410556793,0.5573292970657349,-0.06276019662618637,0.4879167675971985,0.44010135531425476,-0.0148134371265769,314,237
18,0.054454074281089004,0.20866253850084476,0.8470000000000001,-2.5,-14.5,56.059986289311745,0.6692192302294055,-5,-29,0.0,0.0,2542.0,121.19818480488888,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4038805663585663,0.48472586274147034,0.03510244935750961,0.5921632051467896,0.44984304904937744,0.01572345197200775,0.48580801486968994,0.5567563772201538,-0.06336402148008347,0.4890257716178894,0.440043568611145,-0.014869553968310356,315,238
19,0.042914081020011326,0.20496570163545116,0.8470000000000001,-2.0,-14.5,56.19146641422692,0.6553565182781282,-4,-29,0.0,0.0,2576.5,122.18837915284743,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4023417532444,0.48594751954078674,0.03408846631646156,0.5915418267250061,0.45128193497657776,0.016517622396349907,0.48671820759773254,0.5590222477912903,-0.06348086148500443,0.4884601831436157,0.4419797360897064,-0.015115697868168354,315,239
20,0.040355616261705786,0.20400740611756724,0.8470000000000001,-2.0,-14.5,56.30745833087289,0.6635342041368284,-4,-29,0.0,0.0,2533.0,120.20815280171308,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.4037091135978699,0.4856744408607483,0.03438377007842064,0.5904890894889832,0.4517817199230194,0.01644997112452984,0.48723113536834717,0.5595977902412415,-0.06342648714780807,0.4890210032463074,0.44231486320495605,-0.01495317928493023,315,239
