frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance,area_confidence,visibility_confidence,basic_visibility,z_anomaly_score,eye_position_score,eye_opening_score,eye_difference_score,eye_depth_score,eye_variation_score,eye_brightness_score,eye_symmetry,distance_confidence,shape_confidence,eye_distance_ratio,weighted_confidence,final_confidence,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
1,0.19731348367795204,0.17710874517148337,0.9570000000000001,1.5,-19.5,64.96016820338679,0.6431901034849167,3,-39,0.0,0.0,3803.5,131.01526628603247,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.4057244658470154,0.4676935374736786,0.019098863005638123,0.6097034811973572,0.46347856521606445,0.025885025039315224,0.51536625623703,0.5857495069503784,-0.07072373479604721,0.5112022757530212,0.4505297541618347,-0.024634474888443947,326,242
2,0.1873338706431,0.1650377292102065,0.8910000000000001,1.5,-20.0,66.62838615880715,0.6614983382629716,3,-40,0.0,0.0,3904.0,130.01538370516005,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4076131284236908,0.46717751026153564,0.017318975180387497,0.6099318265914917,0.4638962745666504,0.02360287494957447,0.5152866244316101,0.5908294320106506,-0.06929763406515121,0.5124218463897705,0.4520728588104248,-0.02624206617474556,326,243
3,0.18631477520773537,0.17905244926828995,0.8910000000000001,1.5,-20.5,66.6027366618781,0.656568096003846,3,-41,0.0,0.0,3965.0,131.00381673829202,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4077189266681671,0.46661514043807983,0.016480224207043648,0.6112356185913086,0.4640085995197296,0.022821102291345596,0.5159668922424316,0.5910860300064087,-0.06960217654705048,0.5132759809494019,0.45237672328948975,-0.02745276503264904,327,242
4,0.19236574719473096,0.17963949494269388,0.8910000000000001,1.5,-20.5,66.72819638182052,0.6619637883498233,3,-41,0.0,0.0,3934.5,130.00384609695206,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.4087936580181122,0.46760281920433044,0.016552681103348732,0.6112414598464966,0.4650668501853943,0.02264213189482689,0.516412615776062,0.591961145401001,-0.06965767592191696,0.5137625336647034,0.45298898220062256,-0.02758863754570484,327,243
5,0.19540735632043854,0.17766411785037398,0.8910000000000001,1.5,-20.5,66.85512272799721,0.667709016506974,3,-41,0.0,0.0,3969.0,130.01538370516005,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.40834102034568787,0.46781492233276367,0.016569307073950768,0.6113408803939819,0.46425801515579224,0.02255663461983204,0.5164907574653625,0.5926483273506165,-0.06956306844949722,0.5137254595756531,0.4534156322479248,-0.027644263580441475,327,243
6,0.19967289038273955,0.17689396297869941,0.8910000000000001,1.5,-20.5,66.69696151604465,0.6619637883498233,3,-41,0.0,0.0,3934.5,130.00384609695206,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.40845513343811035,0.46718183159828186,0.016361545771360397,0.6114673018455505,0.46460264921188354,0.02258298359811306,0.5167081356048584,0.5919555425643921,-0.0695340484380722,0.513860821723938,0.45305541157722473,-0.027655553072690964,327,243
7,0.20338733719245358,0.17821720924138845,0.8580000000000001,1.5,-20.5,66.88299884862383,0.6619637883498233,3,-41,0.0,0.0,3934.5,130.00384609695206,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8580000000000001,0.40848979353904724,0.4674714505672455,0.01610931009054184,0.6116185784339905,0.4649561643600464,0.022588685154914856,0.5170000195503235,0.5928780436515808,-0.06950610131025314,0.5144569873809814,0.45357972383499146,-0.027810489758849144,327,243
8,0.20131156771649727,0.17682708721120874,0.8910000000000001,1.5,-20.0,66.96579246521785,0.6614983382629716,3,-40,0.0,0.0,3904.0,130.01538370516005,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.40793102979660034,0.468752920627594,0.016224568709731102,0.6116235256195068,0.4653148949146271,0.022766899317502975,0.51658034324646,0.5936226844787598,-0.06916919350624084,0.5140693187713623,0.4541507959365845,-0.02743431180715561,327,244
9,0.20009673946737003,0.17420867053989778,0.8580000000000001,1.5,-20.5,67.19305563579178,0.6627140068977283,3,-41,0.0,0.0,4030.5,131.00381673829202,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8580000000000001,0.40741345286369324,0.46815839409828186,0.016042716801166534,0.6120609641075134,0.46518343687057495,0.02221544273197651,0.5165976881980896,0.5938755869865417,-0.0692560151219368,0.5140372514724731,0.45393168926239014,-0.027834028005599976,327,244
10,0.20284772408954815,0.17678301516191647,0.8910000000000001,1.5,-20.5,67.14380555942101,0.6619637883498233,3,-41,0.0,0.0,3934.5,130.00384609695206,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910000000000001,0.408444881439209,0.46798333525657654,0.016980133950710297,0.612162172794342,0.4648926556110382,0.02245493419468403,0.5161993503570557,0.593427300453186,-0.06915636360645294,0.513824999332428,0.45358020067214966,-0.027086447924375534,327,243
