frame,leye_openness,reye_openness,confidence,face_yaw,face_pitch,nose_length,normal_vector,distance_x,distance_y,arrow_length,pitch_arrow_length,triangle_area,eye_distance,area_confidence,visibility_confidence,basic_visibility,z_anomaly_score,eye_position_score,eye_opening_score,eye_difference_score,eye_depth_score,eye_variation_score,eye_brightness_score,eye_symmetry,distance_confidence,shape_confidence,eye_distance_ratio,weighted_confidence,final_confidence,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,nose_tip_x,nose_tip_y,nose_tip_z,nose_bridge_x,nose_bridge_y,nose_bridge_z,triangle_center_x,triangle_center_y
1,0.2029656815757098,0.164467269090451,0.9570000000000001,0.5,-19.0,63.83330825563644,0.6751257425257337,1,-38,0.0,0.0,3447.0,123.06502346320826,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.39883601665496826,0.47889405488967896,0.022513847798109055,0.5915254354476929,0.4691546559333801,0.02525511011481285,0.49707382917404175,0.590663492679596,-0.06836573034524918,0.4938533902168274,0.4577467739582062,-0.021933013573288918,317,245
2,0.19658077742543204,0.16897279305093638,0.9570000000000001,1.0,-18.5,63.41992330022354,0.6745570797655174,2,-37,0.0,0.0,3390.5,122.10241602851272,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.39916232228279114,0.4804774820804596,0.02160002663731575,0.5906163454055786,0.46890246868133545,0.020661260932683945,0.4972621500492096,0.5896041393280029,-0.06756993383169174,0.4935291111469269,0.4575730860233307,-0.024055812507867813,316,246
3,0.20583112314006757,0.17181158655195417,0.9570000000000001,1.0,-18.5,62.98392293586424,0.6676579585310177,2,-37,0.0,0.0,3390.0,123.14625451064275,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.39770519733428955,0.48030751943588257,0.021779445931315422,0.589934229850769,0.46833160519599915,0.022008564323186874,0.4969695806503296,0.5875640511512756,-0.06790207326412201,0.49290528893470764,0.45645949244499207,-0.0234245453029871,316,245
4,0.2064687051325071,0.17195986808204217,0.9570000000000001,1.0,-18.5,63.31931433666651,0.6617048466239522,2,-37,0.0,0.0,3419.0,124.14507642270796,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.39663392305374146,0.4801276624202728,0.021387135609984398,0.5900422930717468,0.4679122567176819,0.021488351747393608,0.4972878694534302,0.5887512564659119,-0.06790433824062347,0.49345844984054565,0.4569348692893982,-0.02404697611927986,316,245
5,0.20284600092441835,0.17616558483957756,0.9570000000000001,1.0,-18.5,63.53959675893262,0.6617048466239522,2,-37,0.0,0.0,3419.0,124.14507642270796,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.3966349959373474,0.4796738624572754,0.020902810618281364,0.589968740940094,0.4675610661506653,0.021499324589967728,0.49741458892822266,0.5890430808067322,-0.06806282699108124,0.4934045076370239,0.4567769467830658,-0.024359747767448425,316,245
6,0.21229435791620224,0.18218440570005737,0.9570000000000001,1.0,-18.5,63.21673993687217,0.6673657296750982,2,-37,0.0,0.0,3416.0,124.14507642270796,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.39616504311561584,0.4801069498062134,0.02224249206483364,0.5898564457893372,0.46770861744880676,0.02063097432255745,0.4960704445838928,0.5880221128463745,-0.06751689314842224,0.49209120869636536,0.4564274847507477,-0.023662332445383072,315,245
7,0.20743130457763276,0.1647701781417322,0.9570000000000001,1.0,-18.5,63.17634614261264,0.6617048466239522,2,-37,0.0,0.0,3419.0,124.14507642270796,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.3964231610298157,0.4800131916999817,0.02067287638783455,0.5891140103340149,0.4674689471721649,0.020948367193341255,0.49756187200546265,0.5877814292907715,-0.06731477379798889,0.49288350343704224,0.4563119411468506,-0.02419273741543293,316,245
8,0.21049761567591405,0.1711670552893569,0.9570000000000001,1.0,-18.5,63.27711883065646,0.6617048466239522,2,-37,0.0,0.0,3419.0,124.14507642270796,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.39634397625923157,0.4802621901035309,0.02180810086429119,0.5892474055290222,0.4672396183013916,0.02087595872581005,0.4970081150531769,0.5880135297775269,-0.06721750646829605,0.4923655390739441,0.45633161067962646,-0.02356788143515587,316,245
9,0.2072571564161449,0.16564174813520063,0.9570000000000001,1.5,-18.5,63.18741540572267,0.661999051695128,3,-37,0.0,0.0,3393.0,123.14625451064275,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.3962787389755249,0.4800216853618622,0.02099582739174366,0.5889954566955566,0.46745777130126953,0.020965037867426872,0.4969564974308014,0.587814211845398,-0.06744860112667084,0.49247416853904724,0.4563094973564148,-0.02401595748960972,315,245
10,0.20400371273659634,0.17141414191874235,0.9570000000000001,1.0,-18.5,63.335528500433824,0.6617048466239522,2,-37,0.0,0.0,3419.0,124.14507642270796,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9570000000000001,0.39611074328422546,0.480133980512619,0.0210247989743948,0.5894618630409241,0.46711277961730957,0.020930662751197815,0.49720343947410583,0.5883297920227051,-0.06734003871679306,0.4924826920032501,0.45653098821640015,-0.024131162092089653,316,245
