task_id,predicted,ground_truth,correct,notes
2_7,1,1,1,"frames 74-173, drowsy_frames=67"
2_8,1,1,1,"frames 242-365, drowsy_frames=94"
2_9,0,1,0,"frames 465-593, drowsy_frames=0"
2_10,1,1,1,"frames 694-834, drowsy_frames=109"
2_11,1,1,1,"frames 928-1087, drowsy_frames=134"
