task_id,predicted,ground_truth,correct,notes
3_12,0,1,0,"frames 112-288, drowsy_frames=0"
3_13,0,1,0,"frames 356-552, drowsy_frames=0"
3_14,0,1,0,"frames 641-812, drowsy_frames=0"
3_15,0,1,0,"frames 891-1060, drowsy_frames=0"
3_16,1,1,1,"frames 1170-1440, drowsy_frames=228"
